class,new_name,original_path
battery,battery_0001.jpg,D:\Download\garbage classification\garbage classification\battery\battery (1).jpg
battery,battery_0002.jpg,D:\Download\garbage classification\garbage classification\battery\battery (1).webp
battery,battery_0003.jpg,D:\Download\garbage classification\garbage classification\battery\battery (2).jpg
battery,battery_0004.jpg,D:\Download\garbage classification\garbage classification\battery\battery (2).webp
battery,battery_0005.jpg,D:\Download\garbage classification\garbage classification\battery\battery (3).jpg
battery,battery_0006.jpg,D:\Download\garbage classification\garbage classification\battery\battery (3).webp
battery,battery_0007.jpg,D:\Download\garbage classification\garbage classification\battery\battery (4).jpg
battery,battery_0008.jpg,D:\Download\garbage classification\garbage classification\battery\battery (4).webp
battery,battery_0009.jpg,D:\Download\garbage classification\garbage classification\battery\battery (5).jpg
battery,battery_0010.jpg,D:\Download\garbage classification\garbage classification\battery\battery (5).webp
battery,battery_0011.jpg,D:\Download\garbage classification\garbage classification\battery\battery (6).jpg
battery,battery_0012.jpg,D:\Download\garbage classification\garbage classification\battery\battery (7).jpg
battery,battery_0013.jpg,D:\Download\garbage classification\garbage classification\battery\battery (7).webp
battery,battery_0014.jpg,D:\Download\garbage classification\garbage classification\battery\battery (8).jpg
battery,battery_0015.jpg,D:\Download\garbage classification\garbage classification\battery\battery (8).webp
battery,battery_0016.jpg,D:\Download\garbage classification\garbage classification\battery\battery (9).jpg
battery,battery_0017.jpg,D:\Download\garbage classification\garbage classification\battery\battery (9).webp
battery,battery_0018.jpg,D:\Download\garbage classification\garbage classification\battery\battery (10).jpg
battery,battery_0019.jpg,D:\Download\garbage classification\garbage classification\battery\battery (10).webp
battery,battery_0020.jpg,D:\Download\garbage classification\garbage classification\battery\battery (11).jpg
battery,battery_0021.jpg,D:\Download\garbage classification\garbage classification\battery\battery (11).webp
battery,battery_0022.jpg,D:\Download\garbage classification\garbage classification\battery\battery (12).jpg
battery,battery_0023.jpg,D:\Download\garbage classification\garbage classification\battery\battery (12).webp
battery,battery_0024.jpg,D:\Download\garbage classification\garbage classification\battery\battery (13).jpg
battery,battery_0025.jpg,D:\Download\garbage classification\garbage classification\battery\battery (13).webp
battery,battery_0026.jpg,D:\Download\garbage classification\garbage classification\battery\battery (14).jpg
battery,battery_0027.jpg,D:\Download\garbage classification\garbage classification\battery\battery (14).webp
battery,battery_0028.jpg,D:\Download\garbage classification\garbage classification\battery\battery (15).jpg
battery,battery_0029.jpg,D:\Download\garbage classification\garbage classification\battery\battery (15).webp
battery,battery_0030.jpg,D:\Download\garbage classification\garbage classification\battery\battery (16).jpg
battery,battery_0031.jpg,D:\Download\garbage classification\garbage classification\battery\battery (16).webp
battery,battery_0032.jpg,D:\Download\garbage classification\garbage classification\battery\battery (17).jpg
battery,battery_0033.jpg,D:\Download\garbage classification\garbage classification\battery\battery (17).webp
battery,battery_0034.jpg,D:\Download\garbage classification\garbage classification\battery\battery (18).jpg
battery,battery_0035.jpg,D:\Download\garbage classification\garbage classification\battery\battery (18).webp
battery,battery_0036.jpg,D:\Download\garbage classification\garbage classification\battery\battery (19).jpg
battery,battery_0037.jpg,D:\Download\garbage classification\garbage classification\battery\battery (19).webp
battery,battery_0038.jpg,D:\Download\garbage classification\garbage classification\battery\battery (20).jpg
battery,battery_0039.jpg,D:\Download\garbage classification\garbage classification\battery\battery (20).webp
battery,battery_0040.jpg,D:\Download\garbage classification\garbage classification\battery\battery (21).jpg
battery,battery_0041.jpg,D:\Download\garbage classification\garbage classification\battery\battery (21).webp
battery,battery_0042.jpg,D:\Download\garbage classification\garbage classification\battery\battery (22).jpg
battery,battery_0043.jpg,D:\Download\garbage classification\garbage classification\battery\battery (22).webp
battery,battery_0044.jpg,D:\Download\garbage classification\garbage classification\battery\battery (23).jpg
battery,battery_0045.jpg,D:\Download\garbage classification\garbage classification\battery\battery (24).jpg
battery,battery_0046.jpg,D:\Download\garbage classification\garbage classification\battery\battery (24).webp
battery,battery_0047.jpg,D:\Download\garbage classification\garbage classification\battery\battery (25).jpg
battery,battery_0048.jpg,D:\Download\garbage classification\garbage classification\battery\battery (26).jpg
battery,battery_0049.jpg,D:\Download\garbage classification\garbage classification\battery\battery (27).jpg
battery,battery_0050.jpg,D:\Download\garbage classification\garbage classification\battery\battery (28).jpg
battery,battery_0051.jpg,D:\Download\garbage classification\garbage classification\battery\battery (29).jpg
battery,battery_0052.jpg,D:\Download\garbage classification\garbage classification\battery\battery (30).jpg
battery,battery_0053.jpg,D:\Download\garbage classification\garbage classification\battery\battery (31).jpg
battery,battery_0054.jpg,D:\Download\garbage classification\garbage classification\battery\battery (32).jpg
battery,battery_0055.jpg,D:\Download\garbage classification\garbage classification\battery\battery (33).jpg
battery,battery_0056.jpg,D:\Download\garbage classification\garbage classification\battery\battery (34).jpg
battery,battery_0057.jpg,D:\Download\garbage classification\garbage classification\battery\battery (35).jpg
battery,battery_0058.jpg,D:\Download\garbage classification\garbage classification\battery\battery (36).jpg
battery,battery_0059.jpg,D:\Download\garbage classification\garbage classification\battery\battery (37).jpg
battery,battery_0060.jpg,D:\Download\garbage classification\garbage classification\battery\battery (38).jpg
battery,battery_0061.jpg,D:\Download\garbage classification\garbage classification\battery\battery (39).jpg
battery,battery_0062.jpg,D:\Download\garbage classification\garbage classification\battery\battery (40).jpg
battery,battery_0063.jpg,D:\Download\garbage classification\garbage classification\battery\battery (41).jpg
battery,battery_0064.jpg,D:\Download\garbage classification\garbage classification\battery\battery (42).jpg
battery,battery_0065.jpg,D:\Download\garbage classification\garbage classification\battery\battery (43).jpg
battery,battery_0066.jpg,D:\Download\garbage classification\garbage classification\battery\battery (44).jpg
battery,battery_0067.jpg,D:\Download\garbage classification\garbage classification\battery\battery (45).jpg
battery,battery_0068.jpg,D:\Download\garbage classification\garbage classification\battery\battery (46).jpg
battery,battery_0069.jpg,D:\Download\garbage classification\garbage classification\battery\battery (47).jpg
battery,battery_0070.jpg,D:\Download\garbage classification\garbage classification\battery\battery (48).jpg
battery,battery_0071.jpg,D:\Download\garbage classification\garbage classification\battery\battery (49).jpg
battery,battery_0072.jpg,D:\Download\garbage classification\garbage classification\battery\battery (50).jpg
battery,battery_0073.jpg,D:\Download\garbage classification\garbage classification\battery\battery (51).jpg
battery,battery_0074.jpg,D:\Download\garbage classification\garbage classification\battery\battery (52).jpg
battery,battery_0075.jpg,D:\Download\garbage classification\garbage classification\battery\battery (53).jpg
battery,battery_0076.jpg,D:\Download\garbage classification\garbage classification\battery\battery (54).jpg
battery,battery_0077.jpg,D:\Download\garbage classification\garbage classification\battery\battery (55).jpg
battery,battery_0078.jpg,D:\Download\garbage classification\garbage classification\battery\battery (56).jpg
battery,battery_0079.jpg,D:\Download\garbage classification\garbage classification\battery\battery (57).jpg
battery,battery_0080.jpg,D:\Download\garbage classification\garbage classification\battery\battery (58).jpg
battery,battery_0081.jpg,D:\Download\garbage classification\garbage classification\battery\battery (59).jpg
